2024_Athena_PositionsBreeding_HR_model.rds,0.2042,0.5756,0.1925,0.0458,0.5448,0.4065,0.3389,0.6513,0.9426,0.4484,0.5784,0.5906,0.1149,0.3557,0.5766,0.0232,0.8562,0.0639,0.4621,0.2553,0.6426,0.8948,0.3008,0.1108,0.3181,0.0567,0.6704,0.9635,0.4657,0.1047,0.6584,0.7885,0.1245,0.6626,0.6694,0.0225,0.0221,0.4302,0.0103,0.4249,0.2863,0.9363,0.2256,0.4174,0,0.4463,0.9852,0.7338,0,0.0002,0,0.0035,0.544,0.652,0.1777,0.0035,0.0077,0.0643,0.8752,0.4906,0.0066,0.0277,0.0127,0,0.5113,0.0155,0.9633,0.0008,0.2798,0.0184,0.5507,0.6451,0,0,0,0.0003,0.0004,0.3067,0.7456,0.0089,0.2559,0.9448,0.5044,0.0039,0.0426,0.6389,0.001,0.3652,0.621,0.1019,0.579,0,0,0.902,0.9149,0.3162,0.2408,0.3644,0.0648,0.0103,0.534
2024_Blue_PositionsBreeding_HR_model.rds,0.4139,0.1581,0,0,0.163,0.2919,0.2672,0.5606,0.0003,0.0616,0.0001,0,0,0,0,0.0108,0.3062,0.4027,0.0001,0,0.4853,0.001,0,0.0004,0.068,0,0.0097,0.0003,0.1304,0.4246,0.0842,0.0013,0,0.4512,0,0.0675,0.1003,0,0.4542,0.005,0,0,0.0001,0.0304,0,0.0124,0,0.0013,0.9856,0.6772,0.8468,0.4296,0,0.0002,0,0.1305,0.1653,0,0.7421,0,0,0.0595,0.0465,0.4449,0,0.6906,0.0002,0.0365,0.0068,0.0097,0.4119,0.0493,0,0,0.0363,0.2691,0.6959,0,0.0011,0.2386,0,0.0002,0.2327,0,0.0582,0,0.0334,0.0089,0.4856,0.4132,0.003,0.0002,0.0001,0,0.0014,0.0002,0.0015,0.0101,0.0085,0.2022,0.0798
2024_Blue2_2_PositionsBreeding_HR_model.rds,0.0635,0.0316,0,0.3047,0.0203,0.0312,0.0303,0.2996,0.0002,0.017,0,0,0,0,0,0.0085,0.0372,0.0888,0.0001,0,0.1653,0.0005,0,0,0.0165,0,0.0029,0.0001,0.0236,0.0718,0.022,0.0007,0,0.2455,0,0.0386,0.0135,0,0.0993,0.0018,0,0,0.0001,0.0065,0,0.0025,0,0.0008,0.0187,0.1337,0.0418,0.1156,0,0.0001,0,0.025,0.1003,0,0.6763,0,0,0.0357,0.0126,0.1159,0,0.0635,0.0001,0.0495,0.0042,0.0005,0.0521,0.0106,0,0.0363,0,0.144,0.0398,0,0.0006,0.0362,0,0.0001,0.0356,0,0.0385,0,0.0059,0.0021,0.0897,0.0445,0.0015,0,0,0,0.0007,0,0.0008,0.003,0.0003,0.0636,0.013
2024_Blue2_PositionsBreeding_HR_model.rds,0.6449,0.2964,0,0,0.2502,0.3273,0.2939,0.6173,0.0078,0.1861,0.0032,0.0009,0.0008,0.0001,0.0002,0.2,0.4651,0.7814,0.0077,0,0.5434,0.0136,0.0004,0.0005,0.156,0.0106,0.0343,0.0044,0.2205,0.7075,0.2192,0.0198,0.0009,0.5723,0,0.3636,0.0557,0,0.8804,0.0312,0,0.0001,0.0168,0.0715,0,0.0273,0,0.0214,0.2143,0.812,0.2743,0.9638,0,0.0106,0.0001,0.1988,0.7208,0,0.8046,0,0.0141,0.3542,0.1451,0.3296,0,0.5109,0.0038,0.7304,0.0986,0.0298,0.3429,0.1096,0.0003,0.2691,0.144,0,0.2534,0,0.0203,0.2565,0.0001,0.0048,0.3597,0,0.4575,0.0003,0.0284,0.0252,0.4899,0.4767,0.0335,0,0.0461,0,0.0182,0.007,0.0526,0.0454,0.0117,0.7579,0.1325
2024_Broom_PositionsBreeding_HR_model.rds,0.537,0.3007,0.0001,0.0014,0.2319,0.4271,0.3739,0.5456,0.005,0.1943,0.0062,0.0013,0.006,0.0008,0.0007,0.0707,0.4252,0.4887,0.0019,0.0001,0.5735,0.012,0.0007,0.0149,0.2465,0.0062,0.0424,0.0057,0.3084,0.5638,0.1839,0.0128,0.01,0.4194,0,0.2238,0.1491,0,0.4731,0.0104,0.0004,0.0009,0.0046,0.1585,0,0.0635,0.0002,0.0135,0.7053,0.4838,0.9679,0.3898,0.0001,0.0056,0.0028,0.4976,0.2676,0,0.6295,0,0.0064,0.1956,0.3004,0.6091,0,0.7659,0.0042,0.075,0.0434,0.2024,0.575,0.1483,0.0004,0.6959,0.0398,0.2534,0,0.0001,0.012,0.7329,0.0024,0.0051,0.3963,0,0.1569,0.0001,0.3905,0.0778,0.6217,0.4928,0.0083,0.0004,0.0011,0.0001,0.0113,0.0146,0.0199,0.0888,0.1669,0.2038,0.1924
2024_CocaCola_PositionsBreeding_HR_model.rds,0.1095,0.2779,0.2041,0.7893,0.1995,0.1371,0.1144,0.2212,0.3714,0.2778,0.6103,0.3435,0.2139,0.7758,0.5407,0.0033,0.6116,0.0372,0.1094,0.1921,0.3886,0.4438,0.1209,0.0569,0.259,0.0016,0.2578,0.3377,0.2518,0.0656,0.3065,0.3206,0.251,0.4147,0.0154,0.0081,0.022,0.0072,0.0051,0.0773,0.2434,0.3493,0.0611,0.2735,0,0.2059,0.3796,0.381,0,0,0,0.0004,0.8065,0.3101,0.4933,0.0007,0.0007,0,0.7864,0.0003,0,0.0095,0.0055,0,0.003,0.0179,0.3991,0,0.1503,0.0118,0.2197,0.2911,0.3067,0,0,0,0.0001,0,0.3475,0.0044,0.0649,0.4095,0.2084,0.0107,0.0167,0.066,0.001,0.2817,0.3869,0.0513,0.1136,0,0,0.3764,0.3626,0.1749,0.1152,0.3592,0.0969,0.0028,0.2093
2024_Dahlia_PositionsBreeding_HR_model.rds,0.4472,0.7873,0.1828,0.0954,0.5408,0.4881,0.4073,0.7554,0.9572,0.7453,0.8347,0.8767,0.3811,0.5394,0.7687,0.2453,0.8548,0.2675,0.7081,0.1979,0.6661,0.9555,0.6678,0.0859,0.614,0.3964,0.611,0.8093,0.6489,0.3207,0.8817,0.9976,0.3856,0.7115,0.3281,0.22,0.0302,0.1177,0.0908,0.414,0.2373,0.6083,0.7404,0.5951,0,0.4198,0.7061,0.9895,0.0007,0.0106,0.0044,0.0593,0.4418,0.9921,0.4111,0.0723,0.1227,0.0099,0.8805,0.2647,0.1194,0.2466,0.1464,0.0052,0.3146,0.0624,0.8527,0.0431,0.784,0.1604,0.5892,0.7327,0.7456,0.0011,0.0006,0.0203,0.012,0.3475,0,0.0922,0.1309,0.9242,0.693,0.0012,0.3065,0.621,0.035,0.4718,0.6499,0.2181,0.6287,0,0.0025,0.5683,0.9619,0.8323,0.7482,0.6595,0.2105,0.097,0.5844
2024_Fork_PositionsBreeding_HR_model.rds,0.63,0.5217,0.0024,0.0104,0.2772,0.4495,0.3902,0.6394,0.0471,0.46,0.071,0.0303,0.081,0.0203,0.0196,0.3587,0.5827,0.6186,0.0239,0.0018,0.5936,0.0822,0.0263,0.0383,0.5741,0.109,0.126,0.0399,0.5342,0.6678,0.3989,0.0874,0.1034,0.4994,0.0002,0.6204,0.135,0,0.4853,0.0346,0.0046,0.0106,0.0797,0.3814,0,0.1568,0.0051,0.1045,0.2576,0.2842,0.5899,0.3672,0.0028,0.0659,0.0435,0.8973,0.5035,0,0.7099,0,0.0947,0.5719,0.7798,0.533,0.0001,0.5076,0.0379,0.1889,0.2412,0.6255,0.5891,0.3201,0.0089,0.2386,0.0362,0.2565,0.7329,0.0044,0.0922,0,0.0094,0.0457,0.5487,0,0.4658,0.0036,0.7768,0.2353,0.6325,0.4251,0.0404,0,0.0067,0.0024,0.0747,0.1333,0.1689,0.3318,0.4653,0.254,0.3244
2024_Frostbite_PositionsBreeding_HR_model.rds,0.0749,0.3996,0.229,0.2912,0.7026,0.5458,0.5166,0.8036,0.228,0.313,0.1364,0.0531,0.0372,0.06,0.0671,0.0036,0.8923,0.0136,0.0501,0.2794,0.7198,0.2887,0.0206,0.8543,0.1901,0.0048,0.8594,0.3806,0.4801,0.0365,0.3625,0.1416,0.0481,0.6453,0.1887,0.0063,0.083,0.4293,0.003,0.2279,0.3628,0.4232,0.0121,0.4376,0,0.8961,0.2154,0.1123,0,0.0001,0.0006,0.0005,0.1199,0.0792,0.0474,0.0037,0.0013,0.2029,0.5297,0.0699,0.0008,0.0061,0.014,0.0001,0.0564,0.0077,0.3439,0.0001,0.0336,0.0215,0.5335,0.6182,0.2559,0,0,0.0001,0.0024,0.0649,0.1309,0.0094,0,0.2484,0.4473,0.0008,0.0071,0.0789,0.0044,0.5503,0.6311,0.0506,0.1925,0,0,0.2036,0.2674,0.0347,0.0233,0.1986,0.0958,0.0011,0.7293
2024_Goldie_PositionsBreeding_HR_model.rds,0.3185,0.7383,0.2831,0.1315,0.5672,0.4809,0.4022,0.7293,0.9986,0.652,0.8054,0.7729,0.303,0.5332,0.7389,0.1088,0.8662,0.1478,0.5706,0.3259,0.6695,0.9955,0.4987,0.1414,0.5217,0.1971,0.7281,0.9683,0.6222,0.1999,0.8275,0.9395,0.3182,0.7099,0.5225,0.1026,0.029,0.2999,0.0393,0.4408,0.3747,0.8719,0.4405,0.5848,0,0.5153,0.9223,0.9127,0.0001,0.0027,0.0014,0.0193,0.585,0.8507,0.3704,0.0313,0.0446,0.042,0.8706,0.3943,0.0462,0.1158,0.0768,0.0012,0.4312,0.0353,0.9916,0.0106,0.5146,0.0962,0.6146,0.7714,0.9448,0.0002,0.0001,0.0048,0.0051,0.4095,0.9242,0.0457,0.2484,0,0.6393,0.0026,0.1448,0.6423,0.0162,0.517,0.6472,0.1558,0.6203,0,0.0004,0.8059,0.9951,0.5854,0.472,0.5956,0.1819,0.0368,0.6254
2024_LMM_PositionsBreeding_HR_model.rds,0.8726,0.982,0.2443,0.2942,0.7333,0.9513,0.8367,0.9723,0.6517,0.9436,0.5503,0.4396,0.3192,0.3066,0.3865,0.4172,0.9147,0.7064,0.5862,0.2678,0.8103,0.7079,0.3229,0.4624,0.8403,0.3226,0.7758,0.6552,0.9664,0.8045,0.9575,0.7038,0.3584,0.7589,0.3317,0.5308,0.1183,0.2519,0.5578,0.5346,0.3446,0.5259,0.4829,0.8692,0,0.728,0.4504,0.6414,0.2175,0.3363,0.3328,0.4872,0.2701,0.6054,0.2997,0.4302,0.4874,0.0862,0.8278,0.2438,0.1546,0.5321,0.5027,0.2479,0.2604,0.4579,0.6384,0.3065,0.6652,0.4652,0.8468,0.9274,0.5044,0.2327,0.0356,0.3597,0.3963,0.2084,0.693,0.5487,0.4473,0.6393,0,0.0017,0.6006,0.4652,0.3271,0.7462,0.7263,0.6298,0.659,0.0007,0.0262,0.3671,0.7139,0.5518,0.5741,0.7326,0.5394,0.5347,0.9183
2024_Louise_PositionsBreeding_HR_model.rds,0.0005,0.0016,0,0.1771,0.0138,0.0017,0.0014,0.0106,0.0028,0.0006,0.0001,0.0001,0,0,0,0,0.2111,0,0.0011,0,0.0644,0.0022,0,0.0002,0.0002,0,0.0024,0.0041,0.001,0.0001,0.0019,0.0018,0,0.0025,0.0096,0,0.0003,0.0017,0,0.0026,0,0.0036,0,0.0006,0,0.0012,0.0026,0.0012,0,0,0,0,0,0.0005,0,0,0,0,0.1845,0.0095,0,0,0,0,0.0059,0,0.003,0,0,0,0.0031,0.0019,0.0039,0,0,0,0,0.0107,0.0012,0,0.0008,0.0026,0.0017,0,0,0.0033,0,0.0004,0.0462,0.0003,0.0031,0,0,0.0011,0.0029,0,0,0.0002,0,0,0.0019
2024_Maple_PositionsBreeding_HR_model.rds,0.7698,0.6344,0.0052,0.0084,0.3496,0.4154,0.3596,0.6943,0.1704,0.5995,0.202,0.1477,0.1729,0.0713,0.0941,0.87,0.6798,0.8511,0.1387,0.0039,0.6066,0.2226,0.1513,0.0134,0.587,0.4771,0.186,0.1067,0.5225,0.7844,0.5949,0.2768,0.1739,0.638,0.0021,0.9117,0.0518,0.0002,0.6198,0.1114,0.0078,0.03,0.4405,0.3525,0,0.1473,0.0245,0.3283,0.0443,0.2767,0.1095,0.6026,0.0127,0.2768,0.0987,0.4859,0.8889,0,0.8342,0.0005,0.3608,0.9374,0.5604,0.1769,0.0011,0.3177,0.1164,0.631,0.7042,0.3558,0.4883,0.3755,0.0426,0.0582,0.0385,0.4575,0.1569,0.0167,0.3065,0.4658,0.0071,0.1448,0.6006,0,0,0.0297,0.1945,0.2103,0.5984,0.435,0.1633,0,0.0525,0.0129,0.227,0.3703,0.6164,0.4144,0.1955,0.5872,0.3282
2024_MillerSow3_PositionsBreeding_HR_model.rds,0.2012,0.4191,0.0233,0.0038,0.5911,0.429,0.3618,0.7297,0.7061,0.2951,0.2331,0.3517,0.0241,0.0984,0.2514,0.0107,0.8656,0.0529,0.8267,0.035,0.6676,0.581,0.1646,0.0221,0.1549,0.0327,0.4387,0.7082,0.2948,0.0967,0.5092,0.7346,0.0257,0.6228,0.6767,0.0102,0.0109,0.1249,0.0076,0.6272,0.0435,0.4654,0.2201,0.2258,0,0.2229,0.5534,0.495,0,0.0001,0,0.0041,0.1396,0.5242,0.0384,0.0009,0.0057,0.0134,0.8739,0.6878,0.003,0.0137,0.0032,0,0.7561,0.0099,0.605,0.0007,0.2259,0.0041,0.437,0.4405,0.6389,0,0,0.0003,0.0001,0.066,0.621,0.0036,0.0789,0.6423,0.4652,0.0033,0.0297,0,0.0001,0.1313,0.6321,0.109,0.8516,0,0,0.3632,0.7015,0.2434,0.1816,0.1435,0.0118,0.014,0.4111
