Bear_1,Bear_2,Hours_Overlap,Location
Athena F,Ham M,19,Confirmed Carcass 1
Athena F,SplitEar F,40,Confirmed Carcass 1
Athena F,ZZ M,4,Confirmed Carcass 1
Ham M,SplitEar F,16,Confirmed Carcass 1
Ham M,ZZ M,3,Confirmed Carcass 1
SplitEar F,ZZ M,9,Confirmed Carcass 1
CocaCola F,Dahlia F,1,Confirmed Carcass 2
CocaCola F,GreenEggs M,4,Confirmed Carcass 2
CocaCola F,Ham M,6,Confirmed Carcass 2
CocaCola F,Squirt F,1,Confirmed Carcass 2
Dahlia F,GreenEggs M,7,Confirmed Carcass 2
Dahlia F,Ham M,19,Confirmed Carcass 2
Dahlia F,Squirt F,11,Confirmed Carcass 2
GreenEggs M,Ham M,12,Confirmed Carcass 2
GreenEggs M,Squirt F,6,Confirmed Carcass 2
Ham M,Squirt F,12,Confirmed Carcass 2
Athena F,CocaCola F,1,Suspected Berry Patch
CocaCola F,SplitEar F,1,Suspected Berry Patch
CocaCola F,Squirt F,1,Suspected Berry Patch
Dahlia F,SplitEar F,1,Suspected Berry Patch
Dahlia F,Squirt F,1,Suspected Berry Patch
Ham M,Squirt F,1,Suspected Berry Patch
SplitEar F,Squirt F,1,Suspected Berry Patch
Athena F,Bombshell F,10,Suspected Carcass 1
Athena F,CocaCola F,50,Suspected Carcass 1
Athena F,Fanta F,1,Suspected Carcass 1
Athena F,Trouble M,20,Suspected Carcass 1
Bombshell F,CocaCola F,8,Suspected Carcass 1
Bombshell F,Fanta F,2,Suspected Carcass 1
Bombshell F,Trouble M,21,Suspected Carcass 1
CocaCola F,Fanta F,1,Suspected Carcass 1
CocaCola F,Trouble M,19,Suspected Carcass 1
Fanta F,Trouble M,16,Suspected Carcass 1
Athena F,BackFloatBear M,1,Suspected Carcass 2
Athena F,Rikki F,1,Suspected Carcass 2
Athena F,SplitEar F,1,Suspected Carcass 2
Athena F,ZZ M,2,Suspected Carcass 2
BackFloatBear M,Rikki F,1,Suspected Carcass 2
BackFloatBear M,ZZ M,1,Suspected Carcass 2
CocaCola F,Ham M,2,Suspected Carcass 2
CocaCola F,SplitEar F,1,Suspected Carcass 2
CocaCola F,ZZ M,1,Suspected Carcass 2
Ham M,Rikki F,4,Suspected Carcass 2
Ham M,ZZ M,1,Suspected Carcass 2
Rikki F,SplitEar F,2,Suspected Carcass 2
Rikki F,ZZ M,1,Suspected Carcass 2